Timestamp, Angle, Speed, Distance, Yaw, Pitch, Roll, AccX, AccY, AccZ, Flag
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,0,-0.03,-0.18,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,0.01,-0.04,-0.15,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,-0.01,-0.04,-0.16,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,-0.03,-0.05,-0.15,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,-0.04,-0.06,-0.16,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,0.02,-0.03,-0.17,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,-0.01,-0.03,-0.16,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,-0.01,-0.04,-0.14,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,-0.01,-0.02,-0.15,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,-0.01,-0.02,-0.13,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,-0.02,-0.06,-0.15,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,-0.01,-0.05,-0.16,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,-0.01,-0.04,-0.16,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,-0.01,-0.06,-0.17,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,0.01,-0.05,-0.17,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,-0.03,-0.05,-0.16,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,-0.01,-0.04,-0.14,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,-0.01,-0.03,-0.17,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,0.01,-0.04,-0.16,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,-0.01,-0.02,-0.17,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,0,-0.04,-0.15,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,-0.03,-0.05,-0.15,0
